Sample,Group,Deoxy carnitine ,Acetyl Carnitine ,Carnitine ,Propeonyl Carnitine ,MethylGlutaryl carnitine ,2-methyl butyryl carnitine ,Isovaleryl carnitine ,Butryl Carnitine ,Isobutyryl Carnitine ,Heptanoyl Carnitine ,Hexanoyl arnitine ,Octonyl Carnitine ,Decanoyl carnitine ,Lauroyl carnitine ,Myristoyl carnitin,Palmitoylcarnitine ,Stearoyl carnitine 
Group-1,CTRL,78084,2041886,221305,131266,7886,2314417,1181693,4123877,4169991,154761,150952,35464,25228,82605,978260,4458101,375775
Group-2,CTRL,69201,2092694,214392,116972,7974,2224777,1130896,4092980,4030185,156857,152083,35945,26077,79677,958556,4579812,399273
Group-3,CTRL,67537,2275800,235669,119386,7123,2284470,1164841,4123334,4081514,152668,149308,33180,23971,88484,1085207,5404127,531954
Group-4,CTRL,66326,2219247,231162,110654,6625,2236544,1158343,4118415,4017402,151413,146885,33996,22939,87026,1057098,5159290,489568
Group-2-1,KD,6524,427437,250049,419840,8821,410084,207782,738311,720739,25064,23959,2277,3901,4454,49575,2876886,2973164
Group-2-2,KD,8755,428506,263594,438289,6629,436003,220754,798933,790565,29354,28819,2838,2090,5366,48114,1806974,1453304
Group-2-3,KD,63457,1999846,308581,399851,7387,485721,253037,842631,859808,24025,24542,1780,3532,2441,51453,2734814,2623134
Group-2-4,KD,26792,2601025,247516,224060,2239,556568,279959,512548,495515,26134,28042,1445,1006,1968,39300,1769743,1391128
Group-3-1,sh_CTRL_10,247117,3505033,362746,336459,6916,1950936,998957,3424017,3433883,222712,220963,40106,21971,66628,933751,8474054,2465729
Group-3-2,sh_CTRL_10,224442,3532644,366246,333041,8363,1920899,1004577,3480175,3517649,232296,231138,40602,22596,65174,917651,8141689,2457545
Group-3-3,sh_CTRL_10,203538,3552330,359803,349589,7026,1630127,835108,2821404,2822985,204463,202608,42405,30724,72628,1181040,15938313,8684557
Group-3-4,sh_CTRL_10,187027,3397986,364944,283915,8100,1593988,822679,2850552,2816526,204736,211637,45117,32466,78043,1234021,16349776,8726681
Group-4-1,KD_10,166182,1892675,428350,265717,8198,1537708,768662,2592805,2633193,104875,101734,19734,7319,9671,106209,1521998,683022
Group-4-2,KD_10,155433,1820678,423881,247565,7779,1651089,838029,2768914,2826623,107187,105633,22396,6685,9463,104250,1434514,613650
Group-4-3,KD_10,155008,1822077,441962,229475,6464,1533891,776582,2646355,2606236,102752,99600,17561,6499,10003,113869,1608637,669113
Group-4-4,KD_10,141754,1854268,436548,228313,7312,1671881,854151,2883519,2831093,110760,111313,21875,7282,9511,126363,1501493,574576
